,song,artist,danceability,energy,speechiness,instrumentalness,tempo,valence,hit
120,Bad Morning,YoungBoy Never Broke Again,0.662,0.798,0.165,0.0,134.999,0.663,1
121,Intro (Hate On Me),Meek Mill,0.647,0.823,0.0478,0.0,150.995,0.309,1
122,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,0.612,0.884,0.0459,0.0,119.991,0.626,0
123,Butter,BTS,0.759,0.459,0.0948,0.0,109.997,0.695,1
124,Hot,Meek Mill Featuring Moneybagg Yo,0.773,0.623,0.196,0.0,153.1,0.13,0
125,Expensive Pain,Meek Mill,0.52,0.552,0.489,0.0,172.306,0.554,0
126,On My Soul,Meek Mill,0.571,0.525,0.343,0.0,119.205,0.306,0
127,Blue Note$ II,Meek Mill Featuring Lil Uzi Vert,0.515,0.431,0.257,0.0,141.392,0.184,0
128,Outside (100 MPH),Meek Mill,0.598,0.664,0.426,0.0,149.17,0.315,0
129,Last One Standing,"Skylar Grey, Polo G, Mozzy & Eminem",0.664,0.692,0.127,0.0,154.924,0.233,0
130,The Feels,TWICE,0.808,0.903,0.0729,0.0,120.044,0.922,0
131,Me (FWM),Meek Mill Featuring A$AP Ferg,0.893,0.638,0.32,0.0,79.944,0.584,0
132,Love Train,Meek Mill,0.65,0.597,0.313,0.0,90.635,0.808,0
133,Feelin Like Tunechi,Lil Wayne Featuring Rich The Kid,0.559,0.532,0.353,0.0,85.843,0.529,0
134,Ride For You,Meek Mill Featuring Kehlani,0.462,0.615,0.215,0.0,90.068,0.307,0
135,TSU,Drake,0.568,0.56,0.42,3.05e-06,130.019,0.246,1
136,Love All,Drake Featuring JAY-Z,0.607,0.515,0.0299,0.000265,97.947,0.283,1
137,No Where,YoungBoy Never Broke Again,0.657,0.496,0.0889,0.0,146.061,0.352,1
138,On My Side,YoungBoy Never Broke Again,0.606,0.671,0.352,0.0,168.201,0.642,1
139,Things A Man Oughta Know,Lainey Wilson,0.659,0.683,0.0312,4.93e-06,139.931,0.397,1
140,Hold Me Down,YoungBoy Never Broke Again,0.558,0.635,0.476,0.0,139.575,0.58,0
141,50 Shots,YoungBoy Never Broke Again,0.772,0.786,0.366,0.0,78.517,0.668,0
142,Smoke Strong,YoungBoy Never Broke Again,0.764,0.702,0.269,0.0,85.953,0.873,0
143,Break Or Make Me,YoungBoy Never Broke Again,0.723,0.549,0.0641,0.0,149.991,0.526,0
144,Sincerely,YoungBoy Never Broke Again,0.586,0.516,0.341,0.0,110.343,0.505,0
145,I Can't Take It Back,YoungBoy Never Broke Again,0.607,0.565,0.412,0.0,107.981,0.373,0
146,Rumors,Lizzo Featuring Cardi B,0.827,0.731,0.088,0.0,118.992,0.607,1
147,Forgiato,YoungBoy Never Broke Again,0.615,0.633,0.373,0.0,174.075,0.509,0
148,Rich Shit,YoungBoy Never Broke Again,0.882,0.644,0.51,0.0,148.133,0.475,0
149,N 2 Deep,Drake Featuring Future,0.0949,0.197,0.0432,0.939,64.658,0.0791,1
150,Baddest Thing,YoungBoy Never Broke Again,0.715,0.676,0.1,0.0,73.462,0.721,0
151,Pipe Down,Drake,0.518,0.69,0.107,0.0,77.837,0.59,1
152,Papi's Home,Drake,0.701,0.741,0.313,0.0,140.177,0.588,1
153,Toxic Punk,YoungBoy Never Broke Again,0.633,0.534,0.229,0.0,155.111,0.29,0
154,Moon,Kanye West,0.319,0.236,0.0318,1.62e-05,162.351,0.254,1
155,Wildest Dreams (Taylor's Version),Taylor Swift,0.583,0.67,0.0646,0.0001,140.061,0.498,1
